timestamp,InstantProdPower,InstantPower,ElectricPower,PhaseVoltage,LineCurrent
2025-12-12T09:10:26Z,930.0,,,,
2025-12-12T09:10:12Z,,-609.0,,,
2025-12-12T09:10:21Z,,106.0,,,
2025-12-12T09:10:14Z,,-587.0,,,
2025-12-12T09:10:15Z,,-609.0,,,
2025-12-12T09:10:24Z,,-80.0,,,
2025-12-12T09:10:17Z,,-593.0,,,
2025-12-12T09:10:32Z,947.0,,,,
2025-12-12T09:10:18Z,,-619.0,,,
2025-12-12T09:10:26Z,,-397.0,,,
2025-12-12T09:10:34Z,1291.0,,,,
2025-12-12T09:10:02Z,,,0.0,233.0,0.0
2025-12-12T09:10:06Z,,,0.0,233.0,0.0
2025-12-12T09:10:33Z,,-279.0,,,
2025-12-12T09:10:41Z,1105.0,,,,
2025-12-12T09:10:50Z,,105.0,,,
2025-12-12T09:10:47Z,,-1498.0,,,
2025-12-12T09:10:38Z,,-398.0,,,
2025-12-12T09:10:46Z,1241.0,,,,
2025-12-12T09:09:12Z,,,1.0,228.0,0.0
2025-12-12T09:09:25Z,,,0.0,226.0,0.0
2025-12-12T09:10:39Z,,-273.0,,,
2025-12-12T09:10:47Z,1120.0,,,,
2025-12-12T09:10:49Z,,-1500.0,,,
2025-12-12T09:10:40Z,,-328.0,,,
2025-12-12T09:10:55Z,,305.0,,,
2025-12-12T09:10:48Z,1222.0,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0
2025-12-12T09:10:50Z,,,57.0,220.0,0.4522
2025-12-12T09:09:12Z,,,1.0,228.0,0.0
2025-12-12T09:09:25Z,,,0.0,226.0,0.0
2025-12-12T09:10:22Z,879.0,,,,
2025-12-12T09:10:56Z,,-1497.0,,,
2025-12-12T09:10:57Z,,-1500.0,,,
2025-12-12T09:11:05Z,,650.0,,,
2025-12-12T09:10:58Z,,-1498.0,,,
2025-12-12T09:10:59Z,,-1510.0,,,
2025-12-12T09:09:12Z,,,1.0,228.0,0.0
2025-12-12T09:09:25Z,,,0.0,226.0,0.0
2025-12-12T09:11:01Z,,-1497.0,,,
2025-12-12T09:11:10Z,,919.0,,,
2025-12-12T09:11:08Z,570.0,,,,
2025-12-12T09:11:02Z,,-1502.0,,,
2025-12-12T09:09:12Z,,,1.0,228.0,0.0
2025-12-12T09:09:25Z,,,0.0,226.0,0.0
2025-12-12T09:08:50Z,,,0.0,221.0,0.0
2025-12-12T09:11:05Z,,,58.0,220.0,0.4501
2025-12-12T09:11:02Z,,-579.0,,,
2025-12-12T09:11:17Z,,755.0,,,
2025-12-12T09:11:05Z,,-607.0,,,
2025-12-12T09:09:12Z,,,1.0,228.0,0.0
2025-12-12T09:09:25Z,,,0.0,226.0,0.0
2025-12-12T09:11:15Z,,-1496.0,,,
2025-12-12T09:11:18Z,,512.0,,,
2025-12-12T09:11:16Z,,-1503.0,,,
2025-12-12T09:09:12Z,,,1.0,228.0,0.0
2025-12-12T09:09:25Z,,,0.0,226.0,0.0
2025-12-12T09:08:50Z,,,0.0,221.0,0.0
2025-12-12T09:11:20Z,,,54.0,220.0,0.4615
2025-12-12T09:11:28Z,,253.0,,,
2025-12-12T09:11:27Z,643.0,,,,
2025-12-12T09:11:24Z,,-1496.0,,,
2025-12-12T09:11:25Z,,-1500.0,,,
2025-12-12T09:09:12Z,,,1.0,228.0,0.0
2025-12-12T09:09:25Z,,,0.0,226.0,0.0
2025-12-12T09:11:26Z,,-1499.0,,,
2025-12-12T09:11:19Z,,-939.0,,,
2025-12-12T09:11:28Z,1203.0,,,,
2025-12-12T09:11:27Z,,-1501.0,,,
2025-12-12T09:11:28Z,,-1494.0,,,
2025-12-12T09:11:31Z,,-1500.0,,,
2025-12-12T09:11:33Z,,-1484.0,,,
2025-12-12T09:11:36Z,,-1501.0,,,
2025-12-12T09:11:21Z,,122.0,,,
2025-12-12T09:11:36Z,1172.0,,,,
2025-12-12T09:11:37Z,,-1498.0,,,
2025-12-12T09:11:29Z,,-331.0,,,
2025-12-12T09:11:44Z,,307.0,,,
2025-12-12T09:11:38Z,,-1500.0,,,
2025-12-12T09:10:02Z,,,0.0,233.0,0.0
2025-12-12T09:11:39Z,,,88.0,230.0,0.6582
2025-12-12T09:11:26Z,,-613.0,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0
2025-12-12T09:11:40Z,,,60.0,220.0,0.4527
2025-12-12T09:11:49Z,,223.0,,,
2025-12-12T09:11:44Z,,-1499.0,,,
2025-12-12T09:11:51Z,,303.0,,,
2025-12-12T09:11:45Z,,-1507.0,,,
2025-12-12T09:10:02Z,,,0.0,233.0,0.0
2025-12-12T09:11:44Z,,,80.0,236.0,0.625
2025-12-12T09:11:38Z,,179.0,,,
2025-12-12T09:11:48Z,,-1496.0,,,
2025-12-12T09:11:54Z,,634.0,,,
2025-12-12T09:11:49Z,,-1512.0,,,
2025-12-12T09:11:51Z,,-1495.0,,,
2025-12-12T09:11:52Z,1195.0,,,,
2025-12-12T09:11:52Z,,-1506.0,,,
2025-12-12T09:11:45Z,,306.0,,,
2025-12-12T09:11:55Z,,-1499.0,,,
2025-12-12T09:11:56Z,,-1501.0,,,
2025-12-12T09:11:58Z,,-1499.0,,,
2025-12-12T09:12:00Z,,-1506.0,,,
2025-12-12T09:12:01Z,,-1499.0,,,
2025-12-12T09:12:02Z,,-1501.0,,,
2025-12-12T09:12:10Z,,905.0,,,
2025-12-12T09:12:05Z,,,1.0,226.0,0.0
2025-12-12T09:12:06Z,,,0.0,224.0,0.0
2025-12-12T09:12:04Z,,-1494.0,,,
2025-12-12T09:12:06Z,,-1506.0,,,
2025-12-12T09:12:11Z,569.0,,,,
2025-12-12T09:12:07Z,,-1496.0,,,
2025-12-12T09:12:14Z,,797.0,,,
2025-12-12T09:12:01Z,,602.0,,,
2025-12-12T09:12:09Z,862.0,,,,
2025-12-12T09:12:16Z,,549.0,,,
2025-12-12T09:12:08Z,,-1502.0,,,
