timestamp,InstantPower,InstantProdPower,ElectricPower,PhaseVoltage,LineCurrent,WithdrawnActiveEnergyReading,FeedInActiveEnergyReading,ProducedActiveEnergyReading
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:39:42Z,,,56.0,220.0,0.4949,,,
2025-12-12T09:39:43Z,,1124.0,,,,,,
2025-12-12T09:39:20Z,,,0.0,231.0,0.0,,,
2025-12-12T09:39:37Z,,,0.0,234.0,0.0,,,
2025-12-12T09:39:37Z,-830.0,,,,,,,
2025-12-12T09:39:44Z,-851.0,,,,,,,
2025-12-12T09:39:53Z,-1159.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:39:57Z,,,52.0,220.0,0.4571,,,
2025-12-12T09:39:55Z,,1244.0,,,,,,
2025-12-12T09:39:57Z,-1239.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:39:57Z,,,52.0,220.0,0.4571,,,
2025-12-12T09:40:05Z,,1182.0,,,,,,
2025-12-12T09:40:06Z,-1180.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:40:07Z,,,55.0,220.0,0.4522,,,
2025-12-12T09:40:08Z,,1192.0,,,,,,
2025-12-12T09:40:11Z,-1212.0,,,,,,,
2025-12-12T09:40:11Z,,1112.0,,,,,,
2025-12-12T09:40:04Z,-818.0,,,,,,,
2025-12-12T09:39:42Z,,1177.0,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:40:12Z,,,54.0,220.0,0.4517,,,
2025-12-12T09:40:00Z,-583.0,,,,,,,
2025-12-12T09:40:01Z,-651.0,,,,,,,
2025-12-12T09:39:20Z,,,0.0,231.0,0.0,,,
2025-12-12T09:39:37Z,,,0.0,234.0,0.0,,,
2025-12-12T09:40:27Z,,1498.0,,,,,,
2025-12-12T09:40:46Z,-1014.0,,,,,,,
2025-12-12T09:40:47Z,-1270.0,,,,,,,
2025-12-12T09:40:33Z,-616.0,,,,,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:40:52Z,,,54.0,219.0,0.4525,,,
2025-12-12T09:40:35Z,-555.0,,,,,,,
2025-12-12T09:40:52Z,-1005.0,,,,,,,
2025-12-12T09:40:56Z,1821.0,,,,,,,
2025-12-12T09:40:59Z,1706.0,,,,,,,
2025-12-12T09:40:53Z,-1288.0,,,,,,,
2025-12-12T09:39:20Z,,,0.0,231.0,0.0,,,
2025-12-12T09:39:37Z,,,0.0,234.0,0.0,,,
2025-12-12T09:40:30Z,,,1.0,221.0,0.0,,,
2025-12-12T09:40:43Z,,,0.0,222.0,0.0,,,
2025-12-12T09:08:50Z,,,0.0,221.0,0.0,,,
2025-12-12T09:40:57Z,,,52.0,220.0,0.4514,,,
2025-12-12T09:40:41Z,-611.0,,,,,,,
2025-12-12T09:40:42Z,-571.0,,,,,,,
2025-12-12T09:39:20Z,,,0.0,231.0,0.0,,,
2025-12-12T09:39:37Z,,,0.0,234.0,0.0,,,
2025-12-12T09:40:47Z,-651.0,,,,,,,
2025-12-12T09:39:20Z,,,0.0,231.0,0.0,,,
2025-12-12T09:39:37Z,,,0.0,234.0,0.0,,,
2025-12-12T09:40:55Z,-576.0,,,,,,,
2025-12-12T09:41:12Z,-1121.0,,,,,,,
2025-12-12T09:40:56Z,-605.0,,,,,,,
