2.502;1.756;0.174;2.502;1.756;0.174;2.502;0.06;0.076;0.416;0.48;0.356;2.468;0.204
2.612;1.807;0.401;2.612;1.807;0.401;2.612;1.404;0.048;0.464;0.592;1.68;0.344;0.208
2.701;1.874;0.439;2.701;1.874;0.439;2.701;1.3;0.052;0.468;0.608;0.976;0.252;1.068
2.755;1.918;0.242;2.755;1.918;0.242;2.755;1.648;0.072;0.476;1.424;0.424;0.204;0.44
2.823;1.926;0.113;2.823;1.926;0.113;2.823;2.848;0.052;0.648;0.884;0.216;0.14;0.312
2.837;1.92;0.155;2.837;1.92;0.155;2.837;2.104;0.048;0.472;6.008;0.196;0.232;0.324
2.842;1.904;0.162;2.842;1.904;0.162;2.842;1.608;0.076;0.472;6.288;0.116;0.188;0.428
2.849;1.872;0.155;2.849;1.872;0.155;2.849;1.644;0.052;0.464;3.66;0.632;0.208;0.416
2.832;1.833;0.147;2.832;1.833;0.147;2.832;2.784;0.048;0.448;2.896;0.208;0.28;0.304
2.784;1.79;0.157;2.784;1.79;0.157;2.784;2.204;0.064;0.484;1.16;0.244;0.116;0.204
2.693;1.768;0.171;2.693;1.768;0.171;2.693;1.364;0.064;0.512;2.084;0.312;0.14;0.208
2.651;1.729;0.19;2.651;1.729;0.19;2.651;0.484;0.048;0.544;1.448;0.064;0.248;0.212
1.04;1.665;0.812;1.04;1.665;0.812;1.04;0.716;0.056;0.572;1.316;0.24;0.232;0.2
0.474;1.594;1.58;0.474;1.594;1.58;0.474;0.812;0.072;0.556;1.04;0.164;0.144;0.18
0.452;1.509;1.518;0.452;1.509;1.518;0.452;0.68;0.052;0.552;0.688;0.088;0.14;0.164
1.056;1.406;0.989;1.056;1.406;0.989;1.056;0.704;0.048;0.536;0.696;0.296;0.152;0.168
0.916;1.283;0.79;0.916;1.283;0.79;0.916;1.944;0.076;0.436;2.512;0.112;0.188;0.18
1.505;1.155;0.708;1.505;1.155;0.708;1.505;0.76;0.052;0.448;1.132;0.252;0.168;0.256
0.587;0.776;0.272;0.587;0.776;0.272;0.587;0.732;0.044;0.428;0.456;0.364;0.14;0.248
0.993;0.554;0.17;0.993;0.554;0.17;0.993;1.048;0.084;0.496;0.404;0.12;0.204;0.144
1.1;0.679;0.218;1.1;0.679;0.218;1.1;1.52;0.052;0.448;0.4;0.208;0.208;0.152
0.674;0.429;0.13;0.674;0.429;0.13;0.674;0.736;0.032;0.408;0.472;0.248;0.188;0.144
0.627;0.337;0.101;0.627;0.337;0.101;0.627;0.668;0.092;0.476;0.488;0.112;0.32;0.296
0.49;0.214;0.08;0.49;0.214;0.08;0.49;0.848;0.052;0.648;0.48;0.324;0.98;2.548
0.361;0.136;0.064;0.361;0.136;0.064;0.361;0.848;0.028;0.484;0.528;0.244;1.964;0.64
0.131;0.038;0.03;0.131;0.038;0.03;0.131;0.904;0.1;0.468;0.688;0.14;1.888;0.356
0.021;0.001;0.005;0.021;0.001;0.005;0.021;0.656;0.052;0.46;1.56;0.424;1.428;0.452
0;0;0;0;0;0;0;0.78;0.028;0.344;0.852;0.248;0.276;1.132
0;0;0;0;0;0;0;0.592;0.096;0.284;0.784;0.36;0.388;0.788
0;0;0;0;0;0;0;0.54;0.048;0.292;0.616;0.428;0.284;0.368
0;0;0;0;0;0;0;0.7;0.056;0.328;0.576;0.124;0.268;0.16
0;0;0;0;0;0;0;1.46;1.904;0.316;0.536;0.34;0.232;0.152
0;0;0;0;0;0;0;0.888;1.94;0.72;0.456;0.308;0.28;0.16
0;0;0;0;0;0;0;0.66;2.156;0.608;0.572;0.148;0.304;0.152
0;0;0;0;0;0;0;0.836;0.932;0.572;0.416;0.332;0.468;0.152
0;0;0;0;0;0;0;0.832;0.204;0.38;0.74;0.336;0.432;0.156
0;0;0;0;0;0;0;0.832;0.192;0.368;0.58;0.24;0.356;0.228
0;0;0;0;0;0;0;0.716;0.164;0.416;0.532;0.408;0.38;0.252
0;0;0;0;0;0;0;1.488;0.272;0.52;0.536;0.316;0.308;0.172
0;0;0;0;0;0;0;1.536;0.2;0.54;0.808;0.932;0.288;0.148
0;0;0;0;0;0;0;0.56;0.212;0.544;1.604;1.084;0.312;0.276
0;0;0;0;0;0;0;0.568;0.864;0.568;0.72;0.616;0.464;0.788
0;0;0;0;0;0;0;1.592;1.028;0.58;1.328;1.044;0.376;0.436
